Zip,Total,white_1,black_1,white_2,black_2
8600000US30122,25786,7689,13821,1196,252
8600000US30182,2498,2203,20,24,0
8600000US30184,6612,6120,86,165,0
8600000US30187,7918,6209,1117,252,0
8600000US30189,38550,30832,2861,2588,215
8600000US30236,49694,8971,30085,3821,434
8600000US30252,46286,29920,12109,991,18
8600000US30257,4345,3478,659,74,0
8600000US30258,3047,2641,252,4,0
8600000US30285,639,573,57,0,0
8600000US30312,22275,9027,10952,614,82
8600000US30317,13737,6161,6333,155,28
8600000US30559,4701,4438,16,55,0
8600000US30568,1645,1255,109,201,16
8600000US30572,796,742,18,16,0
8600000US30575,1533,912,33,386,0
8600000US30576,2310,2091,73,126,0
8600000US30577,21204,17010,2581,243,0
8600000US30625,2140,1681,351,85,0
8600000US30629,4735,3954,468,35,0
8600000US30646,6506,5152,507,397,0
8600000US30667,954,755,150,48,0
8600000US30677,18337,15425,1224,472,0
8600000US30506,44468,38068,308,4857,15
8600000US30507,30076,11833,3714,11402,143
8600000US30511,4009,2754,0,990,0
8600000US30171,3467,3287,12,35,0
8600000US30607,10748,4756,2623,1750,18
8600000US30601,23685,9665,9871,2800,22
8600000US30605,41451,26020,9451,1713,113
8600000US30631,1647,580,1045,3,7
8600000US30075,53328,41282,4820,3423,69
8600000US30116,24161,19101,2862,1205,0
8600000US30413,1805,1019,769,0,15
8600000US30415,6161,5559,408,76,0
8600000US30423,121,101,4,0,0
8600000US30426,782,331,450,1,0
8600000US30438,31,24,7,0,0
8600000US30446,1251,663,485,20,0
8600000US30470,338,304,11,3,0
8600000US30473,2445,1819,423,56,0
8600000US30341,32341,14207,5243,4118,263
8600000US30068,32613,24895,2085,1551,143
8600000US30188,63171,49143,4321,4950,40
8600000US30295,4352,3485,691,85,0
8600000US30062,66053,45908,7528,3547,276
8600000US28338,4663,3022,1036,386,0
8600000US28078,60107,45529,7041,2916,69
8600000US28083,25540,14624,6343,1818,84
8600000US28088,2746,2385,88,160,0
8600000US28101,826,813,3,3,0
8600000US28112,26999,16809,4266,3936,55
8600000US28133,2383,2170,110,72,0
8600000US28147,24878,16211,3735,2613,125
8600000US28160,3586,2210,1184,46,0
8600000US28164,15099,13435,890,323,0
8600000US28617,2323,2058,5,227,0
8600000US28636,5013,4205,90,123,0
8600000US28637,1734,1642,64,0,0
8600000US28651,7419,7189,12,131,0
8600000US28658,27479,19598,2587,1255,77
8600000US28662,114,114,0,0,0
8600000US28668,314,311,1,1,0
8600000US28676,4028,3693,10,257,33
8600000US28705,7139,6822,39,95,0
8600000US28723,11182,9074,626,650,89
8600000US28740,759,694,0,0,0
8600000US28743,1987,1933,0,18,0
8600000US28749,29,29,0,0,0
8600000US28757,116,111,0,0,0
8600000US28761,7671,7315,98,102,0
8600000US28771,8095,6969,13,86,0
8600000US28772,1061,1043,0,16,0
8600000US28773,3056,2916,42,13,0
8600000US28782,6562,6123,286,38,12
8600000US28789,5281,4134,47,15,0
8600000US28790,3308,3095,0,76,0
8600000US28791,14954,12774,380,903,0
8600000US28804,22189,19395,404,1307,5
8600000US28006,1076,1002,0,42,0
8600000US28017,721,673,33,5,0
8600000US28021,13991,12103,1114,246,5
8600000US28023,15623,13370,644,963,0
8600000US28036,17824,15175,843,873,4
8600000US28480,2536,2448,4,35,0
8600000US28715,26318,23294,331,1657,0
8600000US28716,17807,16264,241,680,0
8600000US28729,3271,3224,0,0,0
8600000US28732,17479,15146,912,481,110
8600000US28733,10,7,0,0,0
8600000US28001,26601,20310,3948,860,0
8600000US28007,714,54,660,0,0
8600000US28018,4699,4487,80,84,0
8600000US28020,2082,1960,0,1,0
8600000US28025,54829,36524,9394,3142,431
8600000US28072,1292,1082,190,14,0
8600000US28432,1790,1331,459,0,0
8600000US28394,5303,4163,658,280,0
8600000US28395,2466,1656,517,26,0
8600000US28411,37995,31932,3436,802,0
